Date,Name,Ratings,Review,Type
2019-10-25,1785773300073150074,3.0,Pizza a little cold,order review
2019-10-25,1785773300080282191,5.0,Great promotion.  Tasty pizza.  Service was timely. Im all in,order review
2019-10-25,1785773300069653941,5.0,Dope,order review
2019-10-25,1758773300097686936,5.0,Thanks for the free gift,order review
2019-10-25,1758773300275471440,5.0,Great,order review
2019-10-25,1758773300184554757,1.0,I ordered a pizza and when it got delivered it was cold in the middle like if they had the lil oven thing on to high the pizza was good just not happy that it was cold in the middle ?,order review
2019-10-25,1785773300088444173,4.0,Deceiving price,order review
2019-10-25,1758773300263691090,2.0,Pizza was tasteless,order review
2019-10-25,1758773300013131546,5.0,Great deal,order review
2019-10-16,1758773300000613092,3.0,"My order was nice & hot which was excellent The delivery driver was also a very nice & helpful additional. I would have rated higher BUT my order wasnt complete because of the store running out of pepperoni pizza I NEVER GOT THE SATISFACTION OF ENJOYING MY 2 FAVORITE THINGS....(?and?) That honestly was the only disappointing thing about my order besides not being offered an alternative to the pizza or anther type of pizza & that was a bummer?... But other than that small mishap EVERYTHING ELSE WAS GREAT & TO MY LIKING... EASY, FAST, SIMPLE",order review
2019-10-16,1785773300012746297,4.0,Forgot item in order but delivery was fast,order review
2019-10-16,1758773300011707099,4.0,"The service was fast but the side of the pizza nearest the back of the box was a bit crushed, as if it had been dropped at some point or transported sideways rather than flat.",order review
2019-10-16,1785773300033553862,3.0,"pizza has been always so good. this time it was awful :( but it was free, so whatever I guess.",order review
2019-10-16,1758773300186739224,3.0,Wrong type of beer and pizza. Pizza smelled funky and tasted weird when compared to other pizza. From 711,order review
2019-10-16,1758773300031282180,2.0,"Hi I hate to complain as the food tasted great and the delivery person was courteous, but the candy bars were missing from my order, though I was charged. Please help",order review
2019-10-16,1785773300048124659,1.0,I never got the order,order review
2019-10-16,1758773300248948375,1.0,Late delivery food was cold  not good at all,order review
2019-10-16,1758773300205000491,5.0,Thank you for getting the order right and the Postmates guy Ruslan is lovely - thank you.,order review
2019-10-16,1758773300059158023,5.0,"Perfect, warm and delicious.",order review
2019-10-16,1758773300279205455,4.0,It was interesting to have my ID verified via personal phone scan...did not expect that...,order review
2019-10-16,1758773300249136103,5.0,"Jessica was really nice, thank you.",order review
2019-10-16,1758773300028037159,1.0,Never got the delivery,order review
2019-10-16,1758773300194038262,3.0,Although my order can fast. I receive the wrong pizza I asked for. :(,order review
